latitude	longitude	Gylis
56,051346	21,879017	3,1091287
56,054092	21,849823	7,4690213
56,043407	21,843647	8,869366
56,03011	21,84139	4,4544554
56,06814	21,826506	4,776296
56,03874	21,838402	6,166431
56,048004	21,880007	3,2621074
56,05659	21,838491	8,40943
56,036007	21,84628	8,788453
56,023643	21,854816	7,7675605
56,05274	21,87556	3,9398053
56,030964	21,833288	3,414615
56,035503	21,847994	4,200126
56,03175	21,845873	7,8573
56,037743	21,83458	9,089004
56,031094	21,843388	6,9189663
56,06222	21,85812	6,215335
56,052925	21,87856	3,4255717
56,04693	21,834444	8,019956
56,04591	21,83852	6,5957055
56,017097	21,83877	7,479747
56,055973	21,842983	8,302034
56,056396	21,858028	3,0124402
56,069862	21,835657	4,8177233
56,068398	21,83861	3,7877522
56,04745	21,840183	6,660717
56,054817	21,838999	3,1285114
56,049294	21,85737	5,448762
56,05136	21,879356	2,9281774
56,02881	21,856628	6,921112
56,069214	21,829195	6,5293875
56,03418	21,855581	7,7701178
56,056248	21,872576	3,4823737
56,034725	21,854353	4,632609
56,057144	21,870596	3,1819506
56,04776	21,837168	4,9747553
56,05465	21,851234	6,959409
56,0622	21,848318	2,9405723
56,053608	21,856232	6,6046696
56,049435	21,88012	3,2617443
56,05258	21,838896	6,312151
56,056805	21,839836	9,31498
56,05934	21,853374	5,305551
56,035717	21,871712	6,5066586
56,054813	21,870127	7,0736384
56,055458	21,858807	6,452486
56,0663	21,840864	8,034394
56,034115	21,846828	7,083966
56,057495	21,848768	4,8295026
56,06959	21,836039	4,627491
56,06187	21,857761	7,3933377
56,065796	21,837906	7,2628393
56,038635	21,880785	6,856944
56,031834	21,851305	9,227448
56,057594	21,855421	5,087262
56,053825	21,857847	6,4368625
56,066013	21,835703	6,3771644
56,034348	21,853209	7,216703
56,035206	21,839025	9,626405
56,038647	21,838337	7,214312
56,058548	21,841558	4,314433
56,01846	21,835943	2,635977
56,050556	21,87359	8,431025
56,047573	21,882528	3,170342
56,03541	21,8667	4,8206077
56,030857	21,848824	6,456763
56,063442	21,842175	5,662034
56,03356	21,856913	2,7694838
56,052807	21,875338	4,140371
56,054764	21,871922	3,6602392
56,043392	21,83596	7,6242523
56,05903	21,839449	3,4331934
56,064777	21,837715	6,9931602
56,0308	21,849016	7,028752
56,024612	21,854906	7,469447
56,020668	21,852411	3,3453615
56,016476	21,840595	5,8110614
56,031914	21,834879	8,068392
56,066433	21,832432	5,7272806
56,031372	21,836689	7,604558
56,01448	21,836132	3,9124048
56,04952	21,841127	7,3726497
56,055344	21,860214	5,1500554
56,04405	21,836454	8,466364
56,036823	21,860023	7,745869
56,05394	21,874306	2,8886755
56,05206	21,8721	4,040887
56,032963	21,830193	3,080316
56,027683	21,850819	2,641807
56,053375	21,859781	4,5959926
56,05813	21,847115	3,5827293
56,023075	21,85258	5,4109926
56,045753	21,842707	9,543395
56,056263	21,867466	2,8660116
56,054237	21,872646	3,161535
56,033497	21,832626	7,3647804
56,031254	21,86345	3,1612775
56,029865	21,852482	8,242231
56,050716	21,873758	7,89559
56,03342	21,832626	7,380585
56,024975	21,841362	6,557927
56,05129	21,877413	6,7923713
56,057835	21,857014	3,2987504
56,049877	21,879456	3,2885969
56,028954	21,857002	4,673329
56,04822	21,847088	9,055408
56,0651	21,8341	6,619646
56,05214	21,869297	7,3652563
56,014244	21,850937	4,4790134
56,06363	21,836067	5,799809
56,036354	21,831396	3,711693
56,05703	21,83942	8,036645
56,014572	21,85457	8,795844
56,03248	21,840105	3,547682
56,06495	21,836796	7,0740685
56,05779	21,848482	3,5508664
56,053482	21,85472	6,5359006
56,06713	21,84229	5,607471
56,046738	21,878107	7,672085
56,01515	21,846834	8,22445
56,024494	21,850765	2,8880243
56,054153	21,851425	7,6289706
56,055573	21,867353	7,8193893
56,050613	21,874268	8,331384
56,06471	21,835419	6,7942686
56,044666	21,834177	6,893515
56,034653	21,84145	9,72168
56,03222	21,841066	3,0670679
56,06806	21,834742	7,089244
56,024174	21,854063	7,827994
56,045967	21,833424	3,2406776
56,057945	21,840633	3,4511666
56,023968	21,855156	7,8465796
56,05309	21,856663	7,899814
56,056557	21,869593	6,041945
56,038147	21,831348	2,792203
56,019463	21,846497	6,747811
56,057934	21,84878	3,049794
56,049107	21,8811	3,0868435
56,058437	21,842026	5,2719793
56,055614	21,871042	3,3556712
56,02534	21,839222	6,1663747
56,05269	21,878716	3,5882437
56,051872	21,871809	4,627714
56,050358	21,87066	9,084139
